song_id,title,year,album,word_count,unique_words,ttr,avg_word_length,line_count,avg_line_length,repetition_ratio,question_marks,exclamation_marks,comma_count,quote_count,first_person_count,second_person_count,period,style_cluster,pca1,pca2
1,אותיות נחמה,2025,אותיות נחמה,125,71,0.568,4.464,1,125.0,0.432,5,1,16,0,6,6,Late,1,-2.1936289597303364,0.19400403637810304
2,משמעות לחלומותיי,2025,אותיות נחמה,176,71,0.4034090909090909,3.659090909090909,1,176.0,0.5965909090909091,9,0,16,6,10,4,Late,1,0.1418834695971012,-2.1573584314656076
3,כשהכל יתבהר,2025,אותיות נחמה,158,68,0.43037974683544306,4.050632911392405,1,158.0,0.569620253164557,6,0,21,0,10,4,Late,1,-0.7325719485223281,-1.5491821105733419
4,היה לי אותך,2025,אותיות נחמה,159,88,0.5534591194968553,3.8679245283018866,1,159.0,0.44654088050314467,6,1,18,2,17,8,Late,1,-0.19800612186727035,-0.48187591569233207
5,פעם פם פם,2025,אותיות נחמה,185,109,0.5891891891891892,3.9513513513513514,1,185.0,0.41081081081081083,0,0,14,15,1,2,Late,2,-0.29418422986841664,1.2894045254912712
6,הפנים היפות,2025,אותיות נחמה,132,86,0.6515151515151515,3.840909090909091,1,132.0,0.3484848484848485,1,0,19,2,5,5,Late,2,-1.62901047756699,0.8399661543562085
7,מישהו חושב עליך,2025,אותיות נחמה,215,87,0.4046511627906977,3.7674418604651163,1,215.0,0.5953488372093023,1,0,16,10,3,8,Late,1,0.8242452280063974,-1.2221793087956418
8,לטרוף את החיים,2025,אותיות נחמה,188,121,0.6436170212765957,4.031914893617022,1,188.0,0.35638297872340424,0,0,27,12,9,7,Late,2,0.39457658520975303,1.8954479647856977
9,תני לי יד בעולם,2025,אותיות נחמה,137,101,0.7372262773722628,3.9124087591240877,1,137.0,0.26277372262773724,3,0,15,6,10,4,Late,2,-1.3834908400677342,1.9316212792946124
10,עזור לי,2025,אותיות נחמה,112,67,0.5982142857142857,3.7767857142857144,1,112.0,0.4017857142857143,2,0,19,6,7,5,Late,1,-1.7480236341099642,-0.002616597450413268
11,פעם טעים ופעם מר,2025,אותיות נחמה,153,87,0.5686274509803921,3.9411764705882355,1,153.0,0.43137254901960786,1,3,32,0,6,3,Late,1,-0.9732386748730465,-0.015511025100489644
12,ליד הים,2025,אותיות נחמה,180,69,0.38333333333333336,3.65,1,180.0,0.6166666666666667,1,0,41,9,11,11,Late,0,1.1044480367213247,-1.9251010377950524
13,שקט עכשיו בחדר,2025,אותיות נחמה,218,134,0.6146788990825688,4.151376146788991,1,218.0,0.3853211009174312,0,5,26,3,13,8,Late,2,0.8871238930241364,1.2333991415457914
14,השיר החסר,2025,אותיות נחמה,244,143,0.5860655737704918,4.094262295081967,1,244.0,0.4139344262295082,2,0,48,0,5,12,Late,0,1.7316156657521733,1.5075898363634366
15,שווה שוב להתחיל,2025,אותיות נחמה,229,122,0.5327510917030568,3.925764192139738,1,229.0,0.4672489082969432,0,0,25,0,14,18,Late,0,1.6886252496548966,0.23109667507499182
16,ואולי,2016,קצפת,194,111,0.5721649484536082,3.8556701030927836,1,194.0,0.42783505154639173,0,0,29,0,6,1,Late,2,-0.05545221075088871,0.6384062107361256
